Country,Value
Turkey,6526.8
Algeria,5399.8
Morocco,5286.6
Germany,3910.5
Tunisia,3721.3
Qatar,3332.5
Saudi Arabia,3239.8
United Arab Emirates,2796.54
Egypt,2440.68
Other Europe, nes,1789.08
Indonesia,1543.5
Singapore,1445.3
Senegal,1152
Belgium,1150.2
Netherlands,1120.05
United Kingdom,1038.69
Malaysia,1014.72
Switzerland,856.13
India,805.34
Russia,734.76
Kuwait,559.2175
Iraq,459.4392
Ivory Coast,451.41
Pakistan,426.66678
Italy,420.5
Iran,418.20562
Spain,417
Oman,416.56623
Bahrain,383.11784
United States,376.88
China,375.04
Lebanon,371.95332
Mali,346.34775
Nigeria,331.11288
Israel,287.24
Kazakhstan,267.49956
Ethiopia,265.93533
Bangladesh,264.53504
Jordan,232.65544
Mauritania,221.99391
Libya,202.9083
Austria,189.42
Burkina Faso,174.5515
Azerbaijan,159.19616
Yemen,158.04468
Uzbekistan,144.0648
Niger,140.38668
Guinea,140.25592
Bulgaria,128.1
Sweden,121
Poland,114.3
Republic of the Congo,107.11611
Thailand,105.56
Cameroon,104.15473
Turkmenistan,103.79719
Mauritius,103.11754
Luxembourg,84.3
Canada,84
Greece,82.2
Djibouti,78.55683
Denmark,69
Philippines,65.28
Hong Kong,64.8
Cyprus,62.56347
Sudan,61.13975
Chad,53.88048
Australia,50.49
Gabon,48.63715
Syria,47.82414
Maldives,45.72648
Benin,44.47144
Albania,44.04887
Ghana,41.53557
Mexico,41.1
Comoros,39.13323
Myanmar,38.13528
Slovenia,36.24
New Caledonia,29.96
South Africa,28.5
Kyrgyzstan,27.15861
Afghanistan,26.36068
Togo,23.04702
Serbia,22.33056
Tanzania,21.02222
Norway,20.8
Ireland,18.85
Gambia,18.715
Fiji,17.57889
Georgia,17.028
Romania,14.28
Kenya,13.5562
Argentina,13.46397
Ukraine,11.8
Sierra Leone,11.14419
Sri Lanka,11.00495
Finland,10.75
